iter	RMSE
385	2137.492484
386	2131.966258
387	2126.645119
388	2120.961268
389	2115.29409
390	2110.008423
391	2104.372012
392	2098.928187
393	2093.689795
394	2088.121957
395	2082.547411
396	2077.012494
397	2071.938789
398	2066.76715
399	2061.072159
400	2055.95166
401	2050.45996
402	2046.252622
403	2040.961898
404	2035.511792
405	2030.249879
406	2025.002116
407	2019.774643
408	2014.390148
409	2009.362783
410	2004.34179
411	1999.339585
412	1994.341237
413	1989.086716
414	1984.116476
415	1978.99025
416	1973.87526
417	1968.408744
418	1963.57175
419	1958.747343
420	1954.736383
421	1949.522851
422	1944.657707
423	1939.63592
424	1934.826654
425	1929.830918
426	1925.87957
427	1921.349388
428	1916.554527
429	1911.606368
430	1907.700753
431	1903.809029
432	1899.931138
433	1895.24764
434	1890.517677
435	1885.541204
436	1880.59672
437	1876.774121
438	1871.935591
439	1867.329068
440	1862.75937
441	1858.102472
442	1853.306575
443	1848.523541
444	1843.96876
445	1840.269634
446	1835.678003
447	1831.096555
448	1826.376229
449	1821.663398
450	1817.117067
451	1812.433757
452	1807.694448
453	1803.183309
454	1798.384817
455	1794.718608
456	1790.08943
457	1785.622401
458	1781.023229
459	1776.572876
460	1771.841146
461	1767.419836
462	1763.840305
463	1759.438938
464	1754.908215
465	1750.241665
466	1745.868333
467	1741.373507
468	1737.047492
469	1732.732611
470	1728.428705
471	1723.979103
472	1719.677535
473	1715.106114
474	1710.826799
475	1706.558223
476	1702.159817
477	1697.637497
478	1693.420031
479	1689.188778
480	1684.833513
481	1680.489863
482	1676.297149
483	1672.132831
484	1667.69232
485	1663.402109
486	1659.336745
487	1655.068658
488	1651.719568
489	1647.46511
490	1643.355161
491	1639.507331
492	1635.29107
493	1631.21153
494	1627.14223
495	1622.958326
496	1618.779174
497	1614.617595
498	1610.467142
499	1606.449874
500	1602.320903
501	1598.324082
502	1594.386498
503	1590.409471
504	1586.322159
505	1582.365376
506	1578.299221
507	1574.362578
508	1570.310864
509	1566.27654
510	1562.369144
511	1558.520908
512	1554.510597
513	1550.517587
514	1546.641293
515	1542.783861
516	1538.936113
517	1535.098026
518	1531.155481
519	1527.223464
520	1523.301945
521	1519.503111
522	1515.713817
523	1511.927281
524	1508.044614
525	1504.274502
526	1500.523333
527	1496.781582
528	1492.939294
529	1489.216587
530	1485.387357
531	1481.676788
532	1477.982288
533	1474.297066
534	1470.506662
535	1466.840176
536	1463.07612
537	1459.315299
538	1455.676879
539	1451.935462
540	1448.358571
541	1444.747522
542	1441.041259
543	1437.448587
544	1433.876728
545	1430.198745
546	1426.633236
547	1422.96733
548	1419.311188
549	1415.772952
550	1412.13249
551	1408.504858
552	1404.992479
553	1401.490091
554	1397.890176
555	1394.40559
556	1390.824239
557	1387.357365
558	1383.801369
559	1380.254847
560	1376.807594
561	1373.272487
562	1369.849625
563	1366.332743
564	1362.832073
565	1359.4354
566	1355.952819
567	1352.46902
568	1349.09831
569	1345.642904
570	1342.289341
571	1338.944201
572	1335.515282
573	1332.187158
574	1328.768949
575	1325.466057
576	1322.072331
577	1318.77788
578	1315.491705
579	1312.123991
580	1308.854532
581	1305.593286
582	1302.249974
583	1298.909766
584	1295.584165
585	1292.3562
586	1289.136344
587	1285.775013
588	1282.485072
589	1279.196615
590	1275.916891
591	1272.738221
592	1269.567538
593	1266.404822
594	1263.250054
595	1260.103212
596	1256.964278
597	1253.833231
598	1250.710052
599	1247.594722
600	1244.403979
601	1241.304495
602	1238.212801
603	1235.046511
604	1231.881196
605	1228.731691
606	1225.671555
607	1222.61911
608	1219.574337
609	1216.456822
610	1213.347588
611	1210.326116
612	1207.312238
613	1204.219274
614	1201.220708
615	1198.15121
616	1195.167895
617	1192.106662
618	1189.138504
619	1186.177806
620	1183.224551
621	1180.278719
622	1177.340292
623	1174.409252
624	1171.48558
625	1168.569258
626	1165.660267
627	1162.682915
628	1159.713468
629	1156.82674
630	1153.872622
631	1150.918558
632	1148.053903
633	1145.196451
634	1142.346183
635	1139.503082
636	1136.667129
637	1133.838307
638	1131.016598
639	1128.129451
640	1125.322096
641	1122.521802
642	1119.728548
643	1116.942319
644	1114.091689
645	1111.319636
646	1108.554553
647	1105.796425
648	1103.045233
649	1100.30096
650	1097.56359
651	1094.833104
652	1092.109486
653	1089.392718
654	1086.682784
655	1083.979666
656	1081.283347
657	1078.593811
658	1075.911041
659	1073.235019
660	1070.565729
661	1067.903154
662	1065.247278
663	1062.598083
664	1059.955553
665	1057.319671
666	1054.690421
667	1052.067786
668	1049.45175
669	1046.842297
670	1044.239409
671	1041.643071
672	1039.053266
673	1036.469978
674	1033.893191
675	1031.322888
676	1028.759054
677	1026.201671
678	1023.650725
679	1021.1062
680	1018.568078
681	1016.036344
682	1013.510983
683	1010.991978
684	1008.479314
685	1005.972974
686	1003.40672
687	1000.913137
688	998.4258322
689	995.9447886
690	993.4699911
691	991.0014239
692	988.5390717
693	986.082919
694	983.5703705
695	981.1267278
696	978.689238
697	976.2578858
698	973.8326559
699	971.3428667
700	968.9299703
701	966.5231501
702	964.122391
703	961.727678
704	959.3389959
705	956.9563298
706	954.5796647
707	952.2089856
708	949.8442777
709	947.4855262
710	945.1327161
711	942.7858327
712	940.4448612
713	938.1097871
714	935.7805955
715	933.4572718
716	931.1398015
717	928.82817
718	926.5223627
719	924.2223653
720	921.9281632
721	919.6397419
722	917.3570873
723	915.0801848
724	912.8090203
725	910.5435793
726	908.2838478
727	906.0298115
728	903.7814562
729	901.5387679
730	899.3017324
731	897.0703356
732	894.8445637
733	892.6244025
734	890.4098382
735	888.2008568
736	885.9974444
737	883.7995873
738	881.6072715
739	879.4204835
740	877.2392093
741	875.0634353
742	872.8931479
743	870.7283333
744	868.5689781
745	866.4150686
746	864.2665913
747	862.1235328
748	859.9858795
749	857.8536181
750	855.7267351
751	853.6052172
752	851.4890511
753	849.3782234
754	847.272721
755	845.1725306
756	843.0776389
757	840.988033
758	838.9036995
759	836.8246255
760	834.7507979
761	832.6822036
762	830.6188297
763	828.5606632
764	826.5076912
765	824.4599008
766	822.4172791
767	820.3798133
768	818.3474907
769	816.3202983
770	814.2982237
771	812.2812539
772	810.2693764
773	808.2625785
774	806.2608476
775	804.2641712
776	802.2725367
777	800.2859317
778	798.3043435
779	796.3277599
780	794.3561683
781	792.3895564
782	790.4279119
783	788.4712224
784	786.5194757
785	784.5726595
786	782.6307615
787	780.6937697
788	778.7616717
789	776.8344555
790	774.9121091
791	772.9946202
792	771.0819769
793	769.1741672
794	767.2711791
795	765.3730006
796	763.4796198
797	761.5910249
798	759.707204
799	757.8281452
800	755.9538368
801	754.0842669
802	752.2194239
803	750.3592961
804	748.5038717
805	746.6531391
806	744.8070867
807	742.965703
808	741.1289762
809	739.296895
810	737.4694478
811	735.6466232
812	733.8284096
813	732.0147958
814	730.2057702
815	728.4013215
816	726.6014385
817	724.8061098
818	723.0153241
819	721.2290702
820	719.4473369
821	717.670113
822	715.8973873
823	714.1291488
824	712.3653863
825	710.6060887
826	708.851245
827	707.1008441
828	705.3548752
829	703.6133272
830	701.8761892
831	700.1434503
832	698.4150996
833	696.6911263
834	694.9715195
835	693.2562684
836	691.5453623
837	689.8387905
838	688.1365422
839	686.4386068
840	684.7449735
841	683.0556318
842	681.370571
843	679.6897805
844	678.0132499
845	676.3409686
846	674.6729261
847	673.0091119
848	671.3495156
849	669.6941267
850	668.042935
851	666.3959299
852	664.7531011
853	663.1144385
854	661.4799316
855	659.8495702
856	658.223344
857	656.601243
858	654.9832568
859	653.3693753
860	651.7595884
861	650.153886
862	648.552258
863	646.9546944
864	645.3611851
865	643.7717201
866	642.1862894
867	640.6048832
868	639.0274914
869	637.4541041
870	635.8847116
871	634.3193039
872	632.7578712
873	631.2004036
874	629.6468916
875	628.0973251
876	626.5516947
877	625.0099905
878	623.4722028
879	621.9383221
880	620.4083386
881	618.8822428
882	617.3600252
883	615.841676
884	614.3271859
885	612.8165453
886	611.3097447
887	609.8067746
888	608.3076257
889	606.8122885
890	605.3207537
891	603.8330118
892	602.3490535
893	600.8688695
894	599.3924506
895	597.9197874
896	596.4508707
897	594.9856913
898	593.5242399
899	592.0665075
900	590.6124848
901	589.1621628
902	587.7155323
903	586.2725842
904	584.8333095
905	583.3976991
906	581.9657441
907	580.5374355
908	579.1127642
909	577.6917213
910	576.274298
911	574.8604852
912	573.4502742
913	572.0436561
914	570.640622
915	569.2411632
916	567.8452709
917	566.4529362
918	565.0641504
919	563.6789049
920	562.297191
921	560.9189999
922	559.544323
923	558.1731516
924	556.8054773
925	555.4412913
926	554.0805851
927	552.7233502
928	551.369578
929	550.0192601
930	548.6723879
931	547.3289531
932	545.9889471
933	544.6523616
934	543.3191881
935	541.9894183
936	540.6630439
937	539.3400565
938	538.0204478
939	536.7042096
940	535.3913335
941	534.0818113
942	532.7756347
943	531.4727957
944	530.173286
945	528.8770974
946	527.5842218
947	526.2946511
948	525.0083772
949	523.725392
950	522.4456875
951	521.1692555
952	519.8960882
953	518.6261775
954	517.3595153
955	516.0960939
956	514.8359052
957	513.5789413
958	512.3251943
959	511.0746564
960	509.8273197
961	508.5831763
962	507.3422185
963	506.1044384
964	504.8698283
965	503.6383805
966	502.4100871
967	501.1849405
968	499.9629329
969	498.7440568
970	497.5283044
971	496.3156681
972	495.1061403
973	493.8997134
974	492.6963797
975	491.4961319
976	490.2989622
977	489.1048633
978	487.9138275
979	486.7258474
980	485.5409155
981	484.3590245
982	483.1801668
983	482.0043351
984	480.8315219
985	479.66172
986	478.4949219
987	477.3311203
988	476.170308
989	475.0124775
990	473.8576217
991	472.7057333
992	471.556805
993	470.4108296
994	469.2678
995	468.1277089
996	466.9905492
997	465.8563136
998	464.7249952
999	463.5965868
